OrgName,LocationName,Address,City,State,Zip,Phone,Hours,ServicesHere,Kind,SourceURL,VerifiedOn,Latitude,Longitude,GeoSource
Greater Lawrence Community Action Council (GLCAC),Home Energy Assistance Program (LIHEAP),"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4950,"Mon–Fri 8:30 AM–4:30 PM (Nov 1–Apr 30, appointments also Thu 4:30–6 PM)",Energy bill assistance,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Energy Conservation & Weatherization,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4956,Mon–Fri 8:30 AM–4 PM,Weatherization and energy conservation,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Housing Assistance Program,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4900,Mon–Fri 8:30 AM–4:30 PM,Housing assistance,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Health Insurance Navigator Program,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 620-4784,Mon–Fri 8:30 AM–4:30 PM,Health insurance enrollment,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Childhood Lead Poisoning Prevention Program,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4940,Mon–Fri 8:30 AM–4:30 PM,Lead poisoning prevention,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Volunteer Income Tax Assistance (VITA),305 Essex Street,Lawrence,MA,01840,(978) 620-4752,Mon & Wed 9 AM–5 PM; Tue & Thu 12–8 PM; Sat 9 AM–1 PM,Free tax preparation,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Workforce — Adult Development,"305 Essex Street, 3rd Floor",Lawrence,MA,01840,(978) 620-4729,Mon–Fri 9 AM–5 PM,Workforce development,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Coordinated Family & Community Engagement,"305 Essex Street, 3rd Floor",Lawrence,MA,01840,(978) 620-4726,Mon–Fri 8 AM–4 PM,Family engagement,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),WIC — Lawrence Office,"305 Essex Street, 2nd Floor",Lawrence,MA,01840,(978) 681-4960,"Mon, Tue, Wed, Fri 8:30 AM–4:30 PM; Thu 10 AM–6 PM (one Saturday a month; closed the last Wednesday of the month)",WIC nutrition program,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),WIC — Methuen Office,141 Tenney Street,Methuen,MA,01844,(978) 681-4963,Mon 8:30 AM–4:30 PM; Thu 10 AM–6 PM (Tue and Wed by telephone only; 1st and 3rd Friday in office; one Saturday a month by phone),WIC nutrition program,public,https://www.glcac.org/contact-us/,2026-09-23,42.721345,-71.177053,census
Greater Lawrence Community Action Council (GLCAC),WIC — Andover/North Andover Office,"Andover/North Andover YMCA, 165 Haverhill Street",Andover,MA,01810,(978) 681-4968,1st & 3rd Thu 10 AM–1 PM and 2–6 PM,WIC nutrition program,public,https://www.glcac.org/contact-us/,2026-09-23,42.674242,-71.135825,census
Greater Lawrence Community Action Council (GLCAC),Head Start Administrative Offices,"305 Essex Street, 3rd Floor",Lawrence,MA,01840,(978) 681-4920,Mon–Fri 7 AM–5 PM,Head Start administration,admin,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Child Care Center,585 Andover Street,Lawrence,MA,01843,(978) 681-4910,Mon–Fri 7 AM–5 PM,Child care,public,https://www.glcac.org/contact-us/,2026-09-23,42.690701,-71.171839,census
Greater Lawrence Community Action Council (GLCAC),Head Start — Casa Roja Center,246-252 Andover Street,Lawrence,MA,01843,(978) 681-4927,Mon–Fri 7 AM–5 PM,Head Start,public,https://www.glcac.org/contact-us/,2026-09-23,42.69544,-71.155623,census
Greater Lawrence Community Action Council (GLCAC),Head Start — Common Street Center,"305 Essex Street, 1st Floor (entrance on Common St.)",Lawrence,MA,01840,(978) 681-4959,Mon–Fri 7 AM–5 PM,Head Start,public,https://www.glcac.org/contact-us/,2026-09-23,42.707717,-71.161699,census
Greater Lawrence Community Action Council (GLCAC),Head Start — Gill Avenue Center,24 Gill Avenue,Methuen,MA,01844,(978) 686-2208,Mon–Fri 7 AM–5 PM,Head Start,public,https://www.glcac.org/contact-us/,2026-09-23,42.719556,-71.1883,census
Greater Lawrence Community Action Council (GLCAC),Head Start — Park Street Center,62 Park Street,Lawrence,MA,01841,(978) 681-4982,Mon–Fri 7 AM–5 PM,Head Start,public,https://www.glcac.org/contact-us/,2026-09-23,42.71661,-71.160973,census
Greater Lawrence Community Action Council (GLCAC),Head Start — Water Street Center,136 Water Street,Lawrence,MA,01841,(978) 681-4924,Mon–Fri 7 AM–5 PM,Head Start,public,https://www.glcac.org/contact-us/,2026-09-23,42.699737,-71.171368,census
Partners for Child Development,Andover Office (main),32 Osgood Street,Andover,MA,01810,(978) 475-3806,,Early Intervention; Anderson School; Woodbridge School,public,https://www.mypcd.org/contact-us,2026-09-23,42.63002,-71.180462,nominatim
Partners for Child Development,Lawrence Office,"439 S. Union Street, Bldg. 1, Suite 101",Lawrence,MA,01843,(978) 688-5070,,Early Intervention,public,https://www.mypcd.org/contact-us,2026-09-23,42.691597,-71.153413,census
Partners for Child Development,Chelmsford Office,"321 Billerica Road, Suite 200",Chelmsford,MA,01824,(978) 710-9992,,Early Intervention,public,https://www.mypcd.org/contact-us,2026-09-23,42.592725,-71.318572,census
Community Giving Tree,Boxford Giving Center,572B Main Street,Boxford,MA,01921,(978) 769-5056,Mon–Fri 9 AM–2 PM; Sat–Sun closed,Donation center,public,https://www.communitygivingtree.org/,2026-09-23,42.708117,-71.064386,census
Community Giving Tree,Lawrence Giving Center,599 Canal Street,Lawrence,MA,01840,(978) 769-5056,,Donation center,public,https://www.communitygivingtree.org/,2026-09-23,42.703529,-71.166142,census
Jeanne Geiger Crisis Center,24-Hour Hotline,,,,,(978) 388-1888,"24 hours, 7 days",Crisis hotline,public,https://www.jeannegeigercrisiscenter.org/,2026-09-24,,,
Jeanne Geiger Crisis Center,Administrative Office,2 Harris Street,Newburyport,MA,01950,(978) 465-0999,,Administration,admin,https://www.jeannegeigercrisiscenter.org/,2026-09-24,42.808595,-70.87108,census
Jeanne Geiger Crisis Center,Survivor Services & Youth Empowerment,"5 Market Square, Suite 109",Amesbury,MA,01913,(978) 834-9710,,Survivor services and youth empowerment,public,https://www.jeannegeigercrisiscenter.org/,2026-09-24,42.866655,-70.928967,census
Jeanne Geiger Crisis Center,Intimate Partner Abuse Education Program,"370 Merrimack Street, Floor 3N",Lawrence,MA,01843,(978) 989-0607,,Intimate partner abuse education,public,https://www.jeannegeigercrisiscenter.org/,2026-09-24,42.703441,-71.143015,census
Jeanne Geiger Crisis Center,Children's Safety Program,"280 Merrimack Street, Suite 300",Lawrence,MA,01843,(978) 989-9361,,Children's safety program,public,https://www.jeannegeigercrisiscenter.org/,2026-09-24,42.702884,-71.148584,census
