Name,Address,City,State,Zip,URL,OrgType,ServiceArea,Latitude,Longitude,Strategic Plan,Impact Report,Services,Phone,Hours,HoursSourceURL,HoursVerifiedOn
Eliot Community Human Services,248 Broadway,Lawrence,MA,01840,https://www.eliotchs.org/,Non-profit organization,Mental and Behavioral Health,42.708239,-71.171048,,https://www.eliotchs.org/mission-and-impact-statements/,"Community Service Agency (CSA) Programs, Community Behavioral Health Center Services, Early Intervention and Pregnancy Support, Family Support and Training, Community Crisis Stabilization, Residential Programs",(781) 861-0890,,https://www.eliotchs.org/ (locations page 404),2026-09-24
Esperanza Academy,198 Garden Street,Lawrence,MA,01840,https://esperanzaacademy.org,K-12 School,Youth Education,42.708974,-71.1576232,,https://esperanzaacademy.org/impact,"Academic Excellence, Graduate Success, Restorative Justice, Music Therapy, Cultural Wealth",(978) 686-4673,,https://esperanzaacademy.org/,2026-09-24
Essex County Habitat For Humanity,647 Andover Street,Lawrence,MA,01843,https://www.essexcountyhabitat.org/shop,Non-profit organization,Housing Insecurity,42.6884892,-71.1783893,,,"Homeownership Program, Critical Home Repair Program, ReStore Donations and Shopping, Volunteer Opportunities",978-681-8858,Lawrence ReStore: Tue–Sat 10 AM–5 PM; Main office: Mon–Fri 8:30 AM–1:30 PM (Danvers; appointments recommended),https://www.essexcountyhabitat.org/shop,2026-09-24
Family Services of Merrimack Valley/LMCC,430 North Canal Street,Lawrence,MA,01840,https://fsmv.org,Non-profit organization,Family Services,42.7051143,-71.1643174,,https://fsmv.org/about-us/impact/,"Suicide and Crisis Lifeline, Child Advocacy, Family Resource Center, Samaritans emotional support, Trainings, Youth Development Programs, Parent Education programs",(978) 327-6600,,https://fsmv.org/,2026-09-24
Greater Lawrence Community Action Council (GLCAC),305 Essex Street,Lawrence,MA,01840,https://www.glcac.org,Non-profit organization,Human Services,42.7079147,-71.1617742,,https://www.glcac.org/about-us/,"General Community & Family Support, Housing Assistance, MBTA Reduced Fares Assistance, Tax Preparation, Early Childhood Education (Head Start & Childcare), Coordinated Family & Community Engagement (CFCE), Energy Bill Assistance (LIHEAP), Home Energy Efficiency & Improvement, Health Insurance Navigation, WIC Program, Childhood Lead Poisoning Prevention, Workforce Development & Adult Education",(978) 681-4900,Mon–Fri 8:30 AM–4:30 PM (admin office; program hours vary by department),https://www.glcac.org/contact-us/,2026-09-24
Greater Lawrence Community Boating,1 Eaton Street,Lawrence,MA,01843,http://www.boatingprogram.com,Non-profit organization,Youth Development,42.6923785,-71.1768125,,,"Summer Programs, Sailing Lessons, Kayaking, Canoeing, Paddleboarding, Crew and Rowing Teams, Teen Sailing & Boathouse Training (CIT Program), Boat Access for Members",978-681-8675,,http://www.boatingprogram.com (TLS certificate error),2026-09-24
Greater Lawrence Family Health,34 Haverhill Street,Lawrence,MA,01841,https://glfhc.org,Non-profit organization,Healthcare,42.7118653,-71.1519738,,https://glfhc.org/glfhc-annual-report-2025/,"Internal Medicine, Gynecology, Obstetrics and Prenatal Care, Pediatric Care, Geriatric Care, Pharmacy Services, Walk-in Care, Disease Prevention and Health Education, Nutrition Counseling, Laboratory Services, Health Insurance Enrollment and Cost of Care Assistance, Pharmacy Residency Program",multiple locations,Main site clinic: Mon–Thu 8 AM–9 PM; Fri 9 AM–6 PM; Sat–Sun 9 AM–5 PM; Main site pharmacy: Mon–Thu 8:30 AM–9 PM; Fri 9 AM–7 PM; Sat–Sun 9 AM–5 PM,https://glfhc.org/locations/,2026-09-24
Greater Lawrence Fellowship of the Arts,78 Amesbury Street,Lawrence,MA,01840,https://www.greaterlawrencearts.org,Non-profit organization,Youth Development,42.7080227,-71.1642461,,,"Mindful Arts Summer Institute, Juneteenth Arts and Awareness events, Lawrence Festival of the Arts, Dance and Movement instruction, Music Composition / Songwriting / Production Instruction, Creative Writing instruction, Visual Art instruction, Theater and Playwriting instruction, Mindfulness and wellness practices workshops, Student performance and artistry showcases",,,https://www.greaterlawrencearts.org/,2026-09-24
Greater Lawrence Technical School,57 River Road,Andover,MA,01810,https://www.glts.net,K-12 School,Education,42.6969634,-71.1980444,,https://www.glts.net/about-us/school-report-card,"Career and Technical Education Programs, Adult Technical Training and Apprenticeship Programs, School Counseling and Mental Wellness Services, Student Health Services, Student Food Services, Athletic Programs and Summer Conditioning, Automotive Repair and Collision Services (Public), Restaurant Dining Services (Public), Hair and Beauty Salon Services (Public), Childcare Services, English Learner Support Services, GLTS Scholarship Programs",(978) 686-0194,,https://www.glts.net/,2026-09-24
Groundwork Lawrence,50 Island Avenue,Lawrence,MA,01840,https://www.groundworklawrence.org,Non-profit organization,Environmental Justice,42.7057,-71.1531,,,"Merrimack Valley Food Resiliency Partnership, Farmer's Market, Community Gardens, Costello Urban Farm, Cooking Classes, Youth Workforce Development, Environmental Education, Climate Resilient Neighborhoods Initiative, Urban Tree Planting Program, Park Cleanups",(978) 974-0770,,https://www.groundworklawrence.org,2026-09-24
Hands to Help,315 Turnpike Street,North Andover,MA,01845,https://www.merrimack.edu/about/offices_services/hands-to-help,Non-profit organization,Economic Mobility,42.6678835,-71.1209967,,,"Alternative Spring Break Service Trips, Meal Packaging for Food Pantries and Shelters, Back to School Supply Drive, Thanksgiving Basket Drive, Holiday Gift Card Drive, MLK Day of Service, Clothing and Housewares Donation Drive",,,https://www.merrimack.edu/about/offices_services/hands-to-help/,2026-09-24
International Institute of Greater Lawrence,125 Amesbury Street,Lawrence,MA,01840,https://immigrationlawrence.org,Non-profit organization,Adult education,42.709491,-71.1637744,,,"Immigration Assistance, ESOL Classes, Child Care Services, Fiscal Agent Services, Translation Services",(978) 687-0981,,https://immigrationlawrence.org,2026-09-24
Jeanne Geiger Crisis Center,2 Harris Street,Newburyport,MA,01950,https://jeannegeigercrisiscenter.org,Non-profit organization,Mental and Behavioral Health,42.8088448,-70.8714848,,https://jeannegeigercrisiscenter.org/get-help/survivor-services/,"24-Hour Crisis Hotline, Domestic Violence Survivor Services, Youth Empowerment and Bystander Education, Intimate Partner Abuse Education, Children's Safety Program",(978) 388-1888,"Crisis hotline: 24 hours, 7 days",https://www.jeannegeigercrisiscenter.org/,2026-09-24
Lawrence Boys and Girls Club,136 Water Street,Lawrence,MA,01841,http://www.lawrencebgc.com,Non-profit organization,Youth Development,42.6993507,-71.1704022,,http://www.lawrencebgc.com/who-we-are/annual-reports-newsletters/,"Character & Leadership Development, Academic Support, College & Career Planning, Career Exploration, Healthy Lifestyles Education",(978)-683-2747,,https://www.lawrencebgc.com/locations,2026-09-24
Lawrence Catholic Academy,101 Parker Street,Lawrence,MA,01843,https://www.lawrencecatholicacademy.net,K-12 School,Youth Education,42.6976779,-71.159655,,,"Financial Assistance, Extended Day Program, Extra-Curricular Activities, Meal Program, Academic Program (ages three through grade eight), Spiritual and Human Formation, STEM Education",(978) 683-5822,Mon–Fri 7:45 AM–2:30 PM (school day),https://www.lawrencecatholicacademy.net/,2026-09-24
Lawrence Community Works,168 Newbury Street,Lawrence,MA,01841,https://www.lawrencecommunityworks.org,Non-profit organization,Human Services,42.713494,-71.1559939,,,"Homeownership Assistance, Workforce Development, Youth Empowerment & Creative Arts Network (Movement City), Affordable Housing Development, Commercial Real Estate Development, Community Infrastructure and Public Space Development",(978) 685-3115,Mon–Fri 9 AM–6 PM,https://www.lawrencecommunityworks.org/,2026-09-24
Lawrence General Hospital,1 General Street,Lawrence,MA,01841,https://www.mhlawrencehospital.org,Healthcare System,Healthcare,42.7097143,-71.150077,,,"Hospitalist Care, Patient Portal, Valet Parking and Shuttle Service, Medical Records Access, Emergency Care, Interpreter Services, In-Hospital Patient Entertainment Channel, Financial Assistance Programs, Billing and Financial Counseling",(978) 683-4000,,https://www.mhlawrencehospital.org (rebranded; contact page 404),2026-09-24
Lawrence Partnership,420 Common Street,Lawrence,MA,01840,https://www.lawrencepartnership.org,Non-profit organization,Economic Mobility,42.7066571,-71.1654068,,https://www.lawrencepartnership.org/vision,"Venture Loan Fund, Technical Assistance Grants, MV Small Business Coalition, LP Network, Know Your City Series, Workforce Analysis, Local Job Connection",,Mon–Fri 9 AM–5 PM,https://www.lawrencepartnership.org/contact,2026-09-24
Lawrence Partnership for Transition to Employment (LPTE),420 Common Street,Lawrence,MA,01840,https://www.lawrencepartnership.org,Non-profit organization,Disability Support,42.7066571,-71.1654068,,,,,Mon–Fri 9 AM–5 PM,https://www.lawrencepartnership.org/contact,2026-09-24
Lawrence Prospera- Quintana Center,580 Haverhill Street,Lawrence,MA,01841,https://www.lawrenceprospera.org/programs/maria-quintana-center,Non-profit organization,Adult education,42.704660,-71.181777,,https://www.lawrenceprospera.org/about-us/annual-reports,"Adult Education, ESL classes, Citizenship and Naturalization Services, Youth Development Programs, YouthBuild Program, Youth Vocational Skills Training, Youth Music Production, Youth Sports Programs, Youth Media Production",(978) 794-5399,,https://www.lawrenceprospera.org/about-us/locations-new,2026-09-24
Lawrence Prospera- SISU,417 Canal Street,Lawrence,MA,01840,https://www.lawrenceprospera.org,Non-profit organization,Youth Development,42.705578,-71.163115,,https://www.lawrenceprospera.org/about-us/annual-reports,"Adult Education, GED & Vocational Training for Young Adults Ages 16-24 (YouthBuild), Construction & Carpentry Job Training (SISU Builds), Screen Printing & Embroidery Training (SISU Prints), Free Barber & Cosmetology Shop for Youth (SISU CUTZ), Music Production/Sound Engineering/Podcasting (SISU BEATZ), Youth Basketball & Life Skills Program for At-Risk Youth (SISU Basketball), HOLA Podcast, Strengthening Families Newsletter",(978) 681-0548,,https://www.lawrenceprospera.org/about-us/locations-new,2026-09-24
Lawrence Public Library,51 Lawrence Street,Lawrence,MA,01840,https://www.lawrencepl.org,Non-profit organization,Literacy,42.7107211,-71.1622146,,,"Library card services, Technology access and equipment loans, Physical and digital library collections access, Material acquisition suggestions, Book clubs, Online adult education courses, Citizenship preparation and resources, Services for the blind and print-disabled, Health literacy initiative, Local governance and election information, Information assistance",(978) 620-3600,Mon–Thu 9 AM–9 PM; Fri–Sat 9 AM–5 PM; Sun closed,https://www.lawrencepl.org/,2026-09-24
Lawrence Public Schools,237 Essex Street,Lawrence,MA,01840,https://www.lawrence.k12.ma.us,Municipal Agency,Youth Education,42.707818,-71.159831,https://www.lawrence.k12.ma.us/about/district/strategic-plan,https://www.lawrence.k12.ma.us/about/district/public-notification/department-of-elementary-and-secondary-education’s-office-of-public-school-integrated-monitoring-review-report,"Nutrition Services, Website Accessibility Tools, Student, Family & Community Engagement Programs, Multilingual Learner Programs, Special Education and Student Support Services, Transportation Services, Visual and Performing Arts Programs, Adult Education, Curriculum and Instruction, School Safety Programs, Staff Recruitment and Professional Development",978-975-5900,,https://www.lawrence.k12.ma.us/,2026-09-24
Lawrence YMCA,40 Lawrence Street,Lawrence,MA,01840,https://mvymca.org/location/lawrence/,Non-profit organization,Human Services,42.7092796,-71.1624396,,,"Child Care (Infant Through School-Age), Youth Sports Leagues, Swim Lessons, Summer Day Camps, Fitness Center and Group Exercise Classes, Active Older Adult Programs, Membership Financial Assistance, Food Assistance for Families and Seniors",(978) 686-6191,Mon–Fri 6 AM–8:30 PM; Sat 8 AM–12 PM; Sun closed,https://mvymca.org/location/lawrence/,2026-09-24
Lazarus House Ministries,412 Hampshire Street,Lawrence,MA,01841,https://lazarushouse.org,Non-profit organization,Human Services,42.7159135,-71.1715331,,https://lazarushouse.org/annual-report-2025/,"Food Pantry, Soup Kitchen, Thrift Store, Emergency Shelter, Community Resources, Advocacy",(978) 689-8575,"Soup kitchen: daily 8:30–9:30 AM & 11:30 AM–1 PM; Food pantry: Wed 9 AM–2 PM; Thrift store: Mon, Tue, Thu, Fri, Sat 10 AM–3 PM; Wed 9 AM–5 PM",https://lazarushouse.org/contact/,2026-09-24
MSPCC/Healthy Families,"15 Union Street, Building E Suite 115",Lawrence,MA,01840,https://www.mspcc.org/healthyfamilies,Non-profit organization,Human Services,42.7081,-71.1531,,https://www.mspcc.org/annual-reports/,"Healthy Families Home-based Family Coaching Program, Parents as Teachers Program, Child and Family Counseling, Foster Care and Adoption Placement Services, Foster/Kinship/Adoptive Family Trauma Support (Kid’s Net), ENCOMPASS: Community and Collaboration for Foster Families, Massachusetts Alliance for Foster Families (MAFF) Support, Advocacy Services, Infant and Early Childhood Mental Health (IECMH) Services, IECMH Training, MassAIMH Endorsement® Consultation and Support",(978) 682-9222,,https://www.mspcc.org/healthyfamilies,2026-09-24
Merrimack Valley Dream Center,60 Island Street,Lawrence,MA,01840,https://www.mvdreamcenter.org/,Non-profit organization,Homelessness,42.70661741,-71.1527823,,,"Fresh Start Mobile Showers & Laundry Services, Bridge Ministry outreach and essential supplies, Celebrate Recovery program, Shuttle Ministry transportation to church, Adopt-A-Block community outreach, Mobile Food Distribution",(978) 566-1547,,https://www.mvdreamcenter.org/,2026-09-24
Merrimack River Watershed Council (MRVC),"60 Island Street, Suite 246",Lawrence,MA,01840,https://merrimack.org,Non-profit organization,Environmental Justice,42.7057,-71.1531,,,"Advocacy, Education, Recreation Promotion, Water Quality Monitoring, Combined Sewer Overflow (CSO) Investigation, Post-Event Water Quality Testing, Watershed Restoration Projects, Watershed Climate Resilience Planning, Volunteer Program Management",978.655.4742,,https://merrimack.org/contact/,2026-09-24
Merrimack Valley Food Bank,1703 Middlesex Street,Lowell,MA,01851,https://mvfb.org,Non-profit organization,Food Insecurity,42.635362,-71.352926,,https://mvfb.org/about-us/financial-information/,"Summer Eats, Community Market, Food Rescue, Operation Nourish, Mobile Pantry, Food Distribution Program, SNAP Outreach & Enrollment",(978) 454-7272,,https://mvfb.org/,2026-09-24
Northeast Justice Center,"50 Island Street, Suite 203A",Lawrence,MA,01840,https://www.northeastlegalaid.org,Non-profit organization,Legal services,42.7057,-71.1531,,,"Immigration Legal Services, Housing and Foreclosure Defense, Public Benefits Assistance, Elder Law Services, Domestic Violence and Crime Victim Legal Advocacy, Family Law Services, Consumer and Tax Legal Help",(978) 458-1465,In-person intake: Mon–Thu 9 AM–4 PM (intake staff at lunch 1–2 PM); Phone intake: Mon–Fri 9 AM–1 PM,https://www.northeastlegalaid.org/contact-us,2026-09-24
Northern Essex Community College,100 Elliott Street,Haverhill,MA,01830,https://necc.edu,Higher Education,Adult Education,42.797683,-71.051126,https://necc.edu/about/strategic-plan-2022-2027/strategic-planning-process/,,"Catering Services, Facilities Usage & Event Rental, Art Gallery, Public Lectures & Cultural Events, Online Learning Programs, General Studies Programs, Arts, Humanities & Communication Programs, Business & Computer Technology Programs, Culinary & Hospitality Programs, Education, Human Services & Criminal Justice Programs, Health Sciences Programs, Science & Lab Technology Programs",978-556-3000,,https://necc.edu/about/contact-us/,2026-09-24
Notre Dame Cristo Rey,203 Lawrence Street,Methuen,MA,01844,https://www.ndcrhs.org,Non-profit organization,Youth Education,42.7264326,-71.1794906,,https://www.ndcrhs.org/about/impact-reports,"Academic Support, College Counseling, Dual Enrollment, National Honor Society, Financial Aid and Scholarships, Campus Ministry and Retreats, Community Service Opportunities, Athletics Programs, Student Leadership and Extracurricular Clubs, Corporate Work Study Program, Alumni Resources",9786898222,,https://www.ndcrhs.org/,2026-09-24
Notre Dame Education Center,"354 Merrimack Street, #210",Lawrence,MA,01843,https://www.ndeclawrence.net,Non-profit organization,Adult education,42.7044624,-71.1456074,,,"ESOL Classes, Nursing Assistant training, Home Health Aide training, Basic Life Support training, Citizenship Exam preparation",(978) 682-6441,,https://www.ndeclawrence.net/,2026-09-24
Neighbors in Need,60 Island Street,Lawrence,MA,01840,https://needfood.org/,Non-profit organization,Food Insecurity,42.70611928,-71.15305565,,,"Food Pantry Services, Diaper Distribution, Bus Route Information, Referral to Other Community Resources, Thanksgiving Food Program, Soup Meal Program",(978) 685-8321,Food pantry: Tue 9–10:30 AM & 5:30–6:30 PM; Wed 12:30–2 PM; Thu 9–10:30 AM & 4–5 PM; Fri 9–10:30 AM; Mon closed,https://needfood.org/,2026-09-24
Partners for Child Development,32 Osgood Street,Andover,MA,01810,https://www.mypcd.org,Non-profit organization,Early Intervention Services,42.6300203,-71.180462,,,"Early Intervention Services, Special Education Day School (Anderson School), Early Childhood Education Program (Woodbridge School), Groups and Workshops, Mommy and Me Music Time, Breastfeeding and Bottle Feeding Support",(978) 475-3806,,https://www.mypcd.org/contact-us,2026-09-24
Phoenix Charter Academy,15 Union Street,Lawrence,MA,01840,https://www.phoenixcharteracademy.org,K-12 School,Youth Education,42.7080692,-71.1531095,,https://www.phoenixcharteracademy.org/our-impact/results/,"College preparatory high school education, Post-secondary success and transition support, Specialized re-engagement programs for truants and dropouts, Special Education services, English Language Learner (ELL) support, Support services for court-involved youth",(978) 681-7710,,http://phoenixcharteracademy.org/lawrence,2026-09-24
Sarah's Place Adult Day Health Center,180 Water Street,Haverhill,MA,01830,https://sarahsplace.org,Non-profit organization,Elder Services,42.7750546,-71.0707229,,,"Medical monitoring and medication administration, Physician communication and coordination, Health and family education and support, Daily meals and snacks, Exercise classes, Respite care, Arts, music, entertainment, and celebration programs, Cognitive stimulation activities, Community outings, Transportation Services, Social Work assistance, Access to physical, occupational, and speech therapies",(978) 374-2175,,https://sarahsplace.org/,2026-09-24
Sevita Health,360 Merrimack Street,Lawrence,MA,01843,https://www.sevitahealth.com,Non-profit organization,Mental and Behavioral Health,42.703371,-71.143740,,https://sevitahealth.com/our-impact/,"Foster Care Services, Behavioral Health Services, Juvenile Justice Services, Autism Services, Early Intervention Services, Disability Support Services, Rehabilitation and Medical Services, Day Programs, Residential Services, In-Home Support Services, Senior Telehealth Services",9787947966,,https://www.sevitahealth.com/locations/massachusetts/ (HTTP 403),2026-09-24
Si se puede!,68 Melvin St #12-17,Lawrence,MA,01841,https://www.ssplawrence.org,Non-profit organization,Youth Development,42.704009,-71.172508,,,"After School Program, Teen Center (Leadership and Academic Workshops), Summer Program with Field Trips",978.802.4853,,https://www.ssplawrence.org/,2026-09-24
Squash Busters,26 Island Street,Lawrence,MA,01840,https://www.squashbusters.org,Non-profit organization,Youth Development,42.706405,-71.150320,,https://squashbusters.org/reports/,"Academic Tutoring and Homework Help, SAT Preparation, One-on-One College Mentoring, College Application and Financial Aid Support, College Enrollment and Graduation Support, High School Placement Advising, Character Development Programs, Squash and Fitness Training, Career Exploration Workshops, Connections to External Educational Programs",978.566.9077,,https://www.squashbusters.org/contact,2026-09-24
St. Mary's Parish,300 Haverhill Street,Lawrence,MA,01840,https://www.stmaryassumption-lawrence.org,Faith-based Organization,Faith Institution,42.709638,-71.1668725,,,"Pre-School/Kindergarten Program, Sacramental Preparation Programs, Worship Services, Baptism Services, Youth Ministry Programs, Adult Faith Formation, Child Safety Training, Parish Fellowship Groups, Special Cultural & Liturgical Events",978-685-1111,,https://www.stmaryassumption-lawrence.org/ (HTTP 403),2026-09-24
St. Patrick's Catholic Church,118 S. Broadway,Lawrence,MA,01843,https://www.saintpatrickparish.com,Faith-based Organization,Faith Institution,42.6969321,-71.1628596,,https://www.saintpatrickparish.com/2025-annual-report,"Mass and Confession, Sunday Mass Livestream, Homilies Podcast, Religious Education, FORMED (religious content platform), Saint Patrick Legacy Society, Cemetery Services, K-12 Education, Meal Services, Prayer Line, Stations of the Cross",(978) 683-9416,"Mass: Sat 4 PM (English); Sun 7 AM, 10 AM, 5:30 PM (English), 8:30 AM & 12:30 PM (Spanish), 3 PM (Vietnamese); Mon–Sat 7 AM; Tue & Fri 7 PM (Spanish); Confession: Fri 6–6:45 PM; Sat 3–3:45 PM",https://www.saintpatrickparish.com/mass-and-confession-schedule,2026-09-24
Suenos Basketball,4 Vandergrift Street,Lawrence,MA,01843,https://suenosbasketball.org,Non-profit organization,Youth Development,42.688434,-71.148845,,,"Competitive Youth Basketball Travel Teams (AAU Program), Skills & Training Clinics, Leadership Academy, Summer Camp, Female Hoops Leadership, International Tournaments, Coaching Certification, Youth Employment",(978) 390-5250,,https://suenosbasketball.org/,2026-09-24
The Community Builders,90 Jackson Street,Lawrence,MA,01841,https://tcbinc.org/,Non-profit organization,Homelessness,42.711637,-71.157947,,https://tcbinc.org/news-and-ideas/#impact,"Affordable Housing Development, Property and Asset Management, Resident Services (Childcare Access, Food Access, Digital Inclusion), Community Development Initiatives",857-221-8600,,https://www.tcbinc.org/,2026-09-24
The Community Group,190 Hampshire Street,Lawrence,MA,01840,https://www.thecommunitygroupinc.org,Non-profit organization,Youth education,42.7094677,-71.1677546,,,"Early Learning Education and Care, Out-of-School Time Enrichment, Child Care Professional Training and Workforce Development, Child Care Referrals and Resources, K1-8 Charter Public School",978-682-6628,,https://www.thecommunitygroupinc.org/contact,2026-09-24
The Institute for Career Transitions,REMOTE,Lawrence,MA,01840,https://ictransitions.org,Non-profit organization,Economic Mobility,42.707,-71.1631,,,"ICT Talks Podcast and Video Series, Career Resource Library, Labor Market Advocacy, Peer Support for Career Transitions",617-468-7837,,https://ictransitions.org/,2026-09-24
The Kindness Collaborative,5 Castle Heights Road,Andover,MA,01810,https://kindnesscollab.org,Non-profit organization,Human Services,42.6658174,-71.1473871,,,"Direct Kindness Packages & Essential Goods Provision, Kindness Grants, Special Kindness Projects, Meal Trains, Food Support for Vulnerable Communities, Community Kindness Media Production, Community Engagement Workshops & Classes, Online Kindness Happenings Platform, Business Partnerships for Community Impact, Kind Business Certification & Network",,,https://kindnesscollab.org/,2026-09-24
The Psychological Center,11 Union Street,Lawrence,MA,01840,,Non-profit organization,Mental and Behavioral Health,42.707302,-71.1535128,,,"Substance Use Education and Treatment, Outpatient Addiction Program, Mental Health Counseling (Individual, Group, and Family), Psychiatric Services and Medication Clinic, Recovery Support Services, Safe Shelter and Life Skills Programs",,,no website on file; own contact page returns HTTP 410,2026-09-24
The Salvation Army Lawrence Corps,250 Haverhill Street,Lawrence,MA,01840,https://easternusa.salvationarmy.org/massachusetts/lawrence/,Non-profit organization,Human Services,42.7098636,-71.1638597,,,"Camp and Summer Programs, Alleviate Hunger, Combat Addiction, Equip Individuals and Families, Brighten the Holidays, Empower Youth, Help Disaster Survivors",(978) 682-8038,"Office & social services: Mon–Thu 9 AM–2 PM; Food pantry: Wed 9 AM–1 PM (families of 3+), Thu 9–11 AM (families of 1–2)",https://easternusa.salvationarmy.org/massachusetts/lawrence/,2026-09-24
Top Notch Scholars,60 Island St Suite 200,Lawrence,MA,01840,https://topnotchscholars.org,Non-profit organization,Youth Development,42.7057,-71.1531,,,"Youth Leadership Academy, Entrepreneurship Academy, College and Career Pathways Academy, Mentoring and Internships, Youth Board, Community Service Events, Holiday and Family Support Events (Thanksgiving Dinner, Blessing Kits, Christmas Empowerment)",978-605-0039,Mon–Fri 12–5 PM; Sat–Sun closed,https://topnotchscholars.org/contact,2026-09-24
Uncommon Threads,60 Island Street,Lawrence,MA,01840,https://www.uncommonthreads.org,Non-profit organization,Other: Clothing/Personal Growth,42.7056604,-71.1530802,,,"Self-esteem Styling, Workforce Styling, Remote Styling (Threads to Go), Women's Empowerment Workshops, Emergency and Seasonal Clothing Provision, Empowerment Pop-up Shopping Events",(978) 219-9559,,https://www.uncommonthreads.org/,2026-09-24
