Org,Tag,Verdict,Notes,Landed_URL,Flag
Merrimack River Watershed Council (MRVC),[OLD] Water Quality,,,https://merrimack.org/,gemini
Merrimack River Watershed Council (MRVC),[MISSING — write in anything the site offers that's not listed],,,https://merrimack.org/,gemini
Suenos Basketball,AAU Program,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,Skills & Training Clinics,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,Leadership Academy,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,Summer Camp,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,Female Hoops Leadership,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,International Tournaments,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,Coaching Certification,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,Youth Employment,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,[OLD] Athletics,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,[OLD] Basketball,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,[OLD] Youth Development,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,[OLD] After School,,,https://suenosbasketball.org,redirected_domain
Suenos Basketball,[MISSING — write in anything the site offers that's not listed],,,https://suenosbasketball.org,redirected_domain
Merrimack Valley Dream Center,Fresh Start Mobile Showers & Laundry Services,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,Bridge Ministry outreach and essential supplies,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,Celebrate Recovery program,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,Shuttle Ministry transportation to church,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,Adopt-A-Block community outreach,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,Mobile Food Distribution,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,[OLD] Homelessness,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,[OLD] Emergency Shelter,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,[OLD] Housing,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,[OLD] Transitional Housing,,,https://mvdreamcenter.org/,gemini
Merrimack Valley Dream Center,[MISSING — write in anything the site offers that's not listed],,,https://mvdreamcenter.org/,gemini
The Salvation Army Lawrence Corps,Camp and Summer Programs,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,Alleviate Hunger,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,Combat Addiction,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,Equip Individuals and Families,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,Brighten the Holidays,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,Empower Youth,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,Help Disaster Survivors,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Workforce Development,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Faith-based Services,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Food Insecurity,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Housing Insecurity,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Homelessness,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Substance Use,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Youth Development,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Veterans Services,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[OLD] Emergency Assistance,,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
The Salvation Army Lawrence Corps,[MISSING — write in anything the site offers that's not listed],,,https://easternusa.salvationarmy.org/massachusetts/lawrence,gemini
Lazarus House Ministries,Food Pantry,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,Soup Kitchen,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,Thrift Store,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,Emergency Shelter,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,Community Resources,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,Advocacy,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[OLD] Food Insecurity,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[OLD] Housing Insecurity,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[OLD] Homelessness,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[OLD] Emergency Shelter,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[OLD] Workforce Development,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[OLD] Food Pantry,,,https://lazarushouse.org/,gemini
Lazarus House Ministries,[MISSING — write in anything the site offers that's not listed],,,https://lazarushouse.org/,gemini
Si se puede!,Academic Enrichment & Homework Assistance,,,https://www.ssplawrence.org/,gemini
Si se puede!,Arts and Creative Activities,,,https://www.ssplawrence.org/,gemini
Si se puede!,Nutrition and Well-Being Programs,,,https://www.ssplawrence.org/,gemini
Si se puede!,Technology and Internet Access,,,https://www.ssplawrence.org/,gemini
Si se puede!,Field Trips,,,https://www.ssplawrence.org/,gemini
Si se puede!,Leadership Development,,,https://www.ssplawrence.org/,gemini
Si se puede!,Mentoring,,,https://www.ssplawrence.org/,gemini
Si se puede!,Career Exploration & Internships,,,https://www.ssplawrence.org/,gemini
Si se puede!,Community Service Programs,,,https://www.ssplawrence.org/,gemini
Si se puede!,Literacy Support,,,https://www.ssplawrence.org/,gemini
Si se puede!,Sports & Fitness Activities,,,https://www.ssplawrence.org/,gemini
Si se puede!,Social-Emotional Learning & Personal Growth,,,https://www.ssplawrence.org/,gemini
Si se puede!,[OLD] After School,,,https://www.ssplawrence.org/,gemini
Si se puede!,[OLD] Youth Development,,,https://www.ssplawrence.org/,gemini
Si se puede!,[OLD] Tutoring,,,https://www.ssplawrence.org/,gemini
Si se puede!,[OLD] Academic Support,,,https://www.ssplawrence.org/,gemini
Si se puede!,[MISSING — write in anything the site offers that's not listed],,,https://www.ssplawrence.org/,gemini
Greater Lawrence Technical School,Career and Technical Education Programs,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Adult Technical Training and Apprenticeship Programs,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,School Counseling and Mental Wellness Services,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Student Health Services,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Student Food Services,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Athletic Programs and Summer Conditioning,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Automotive Repair and Collision Services (Public),,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Restaurant Dining Services (Public),,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Hair and Beauty Salon Services (Public),,,https://www.glts.net/,gemini
Greater Lawrence Technical School,Childcare Services,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,English Learner Support Services,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,GLTS Scholarship Programs,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,[OLD] Education,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,[OLD] Vocational Training,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,[OLD] Workforce Development,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,[OLD] Youth Development,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,[OLD] Career Technical Education,,,https://www.glts.net/,gemini
Greater Lawrence Technical School,[MISSING — write in anything the site offers that's not listed],,,https://www.glts.net/,gemini
Lawrence Partnership,Venture Loan Fund,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,Technical Assistance Grants,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,MV Small Business Coalition,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,LP Network,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,Know Your City Series,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,Workforce Analysis,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,Local Job Connection,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,[OLD] Economic Development,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,[OLD] Workforce Development,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,[OLD] Business Development,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,[OLD] Job Creation,,,https://lawrencepartnership.org/,gemini
Lawrence Partnership,[MISSING — write in anything the site offers that's not listed],,,https://lawrencepartnership.org/,gemini
Community Giving Tree,Evening of Giving,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,October Fun Fest,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,Back to School Program,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,[OLD] Basic Needs,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,[OLD] Clothing,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,[OLD] Diapers,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,[OLD] Family Services,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,[OLD] Toy Drive,,,https://www.communitygivingtree.org/,gemini
Community Giving Tree,[MISSING — write in anything the site offers that's not listed],,,https://www.communitygivingtree.org/,gemini
