Name,Services,Service_Method,Source_URLs,Landed_URL,Old_Services
Family Services of Merrimack Valley/LMCC,"Suicide and Crisis Lifeline, Child Advocacy, Family Resource Center, Samaritans emotional support, Trainings, Youth Development programs, Parent Education programs",gemini,https://fsmv.org/programs-overview/mental-health-wellness/suicide-and-crisis-lifeline/ | https://fsmv.org/programs-overview/youth-development/child-advocacy/ | https://fsmv.org/programs-overview/parent-education/family-community-resource/ | https://fsmv.org/programs-overview/mental-health-wellness/samaritans/ | https://fsmv.org/programs-overview/mental-health-wellness/mental-health-training/ | https://fsmv.org/programs-overview/,https://fsmv.org/,"Family Services, Counseling, Domestic Violence, Mental Health"
Greater Lawrence Community Action Council (GLCAC),"General Community & Family Support, Housing Assistance, MBTA Reduced Fares Assistance, Tax Preparation, Early Childhood Education (Head Start & Childcare), Coordinated Family & Community Engagement (CFCE), Energy Bill Assistance (LIHEAP), Home Energy Efficiency & Improvement, Health Insurance Navigation, WIC Program, Childhood Lead Poisoning Prevention, Workforce Development & Adult Education",gemini,https://www.glcac.org/community-service-center/ | https://www.glcac.org/energy-conservation-programs/ | https://www.glcac.org/lead/,https://www.glcac.org/,"Anti-Poverty Programs, Food Insecurity, Housing Assistance, Energy Assistance, Head Start, Social Services"
Greater Lawrence Community Boating,"Summer Program, Sailing Lessons, Kayaking, Canoeing, Paddleboarding, Crew and Rowing Teams, CIT Program, Boat Access for Members",redirected_domain,https://www.boatingprogram.org | https://www.boatingprogram.org/about | https://www.boatingprogram.org/fleet | https://www.boatingprogram.org/staff | https://www.boatingprogram.org/facility | https://www.boatingprogram.org/media,https://www.boatingprogram.org/,"After School, Out of School, Youth Development, Athletics, Water Sports"
Greater Lawrence Family Health,"Internal Medicine, Gynecology, Obstetrics and Prenatal Care, Pediatric Care, Geriatric Care, Pharmacy Services, Walk-in Care, Disease Prevention and Health Education, Nutrition Counseling, Laboratory Services, Health Insurance Enrollment and Cost of Care Assistance, Pharmacy Residency Program",gemini,https://glfhc.org/# | https://glfhc.org/full-list-of-services/ | https://glfhc.org/?page_id=1267,https://glfhc.org/,"Healthcare, Primary Care, Dental Care, Behavioral Health, Maternal Health"
Greater Lawrence Fellowship of the Arts,"Mindful Arts Summer Institute, Juneteenth Arts and Awareness events, Lawrence Festival of the Arts, Dance and Movement instruction, Music composition, songwriting, and production instruction, Creative Writing instruction, Visual Art instruction, Theater and Playwriting instruction, Mindfulness and wellness practices workshops, Student performance and artistry showcases",gemini,https://www.greaterlawrencearts.org/programs/,https://www.greaterlawrencearts.org/,"Arts and Culture, Creative Arts, Community Arts"
Greater Lawrence Technical School,"Career and Technical Education Programs, Adult Technical Training and Apprenticeship Programs, School Counseling and Mental Wellness Services, Student Health Services, Student Food Services, Athletic Programs and Summer Conditioning, Automotive Repair and Collision Services (Public), Restaurant Dining Services (Public), Hair and Beauty Salon Services (Public), Childcare Services, English Learner Support Services, GLTS Scholarship Programs",gemini,https://www.glts.net/about-us/program-of-studies | https://www.glts.net/programs/school-counseling | https://www.glts.net/communityservices/rentals | https://www.glts.net/communityservices/auto-collision-repair-shop | https://www.glts.net/communityservices/automotive-shop | https://www.glts.net/communityservices/four-winds-restaurant,https://www.glts.net/,"Education, Vocational Training, Workforce Development, Youth Development, Career Technical Education"
Groundwork Lawrence,"Merrimack Valley Food Resiliency Partnership, Farmer's Market, Community Gardens, Costello Urban Farm, Cooking Classes, Youth Workforce Development, Environmental Education, Climate Resilient Neighborhoods Initiative, Urban Tree Planting Program, Park Cleanups",gemini,https://groundworklawrence.org/what-we-do/ | https://groundworklawrence.org/what-we-do/community-engagement/ | https://groundworklawrence.org/what-we-do/food-programs/ | https://groundworklawrence.org/what-we-do/education-programs/,https://groundworklawrence.org/,"Environmental Justice, Climate Change, Food Insecurity, Urban Agriculture, Public Health, Youth Development, Green Jobs"
Hands to Help,"Academic Degree and Certificate Programs, Experiential Learning Opportunities, Student Academic and Career Support, Student Residential and Campus Life Services, Student Health and Wellness Services, Athletic Programs, Admissions and Financial Services, Spiritual Life and Community Service Programs, Specialized Academic Learning Communities",gemini,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/#content | https://www.merrimack.edu/academics/program-finder/ | https://www.merrimack.edu/academics/program-finder/start/filter/program-type:UndergraduateMajor%2CUndergraduateMinor%2CPreProfessionalProgram%2CAcceleratedBachelorsAndMasters%2CBachelorsDegreeCompletion%2CCoursesForCollegeCredit/ | https://www.merrimack.edu/academics/program-finder/start/filter/location:Online/ | https://www.merrimack.edu/academics/low-cost-degrees/ | https://www.merrimack.edu/admission/professional-studies/degree-programs/,https://www.merrimack.edu/about/offices_services/campus_ministry/service_opportunities/,"Adult Education, After School, College Prep, Economic Mobility, Workforce Development, Literacy, Social Services"
International Institute of Greater Lawrence,"Immigration Assistance, ESOL Classes, Child Care Services, Fiscal Agent Services, Translation Services",gemini,https://immigrationlawrence.org,https://immigrationlawrence.org/,"Adult Education, ESL, Immigration, Legal Services, Literacy, Citizenship"
Jeanne Geiger Crisis Center,,too_little_text,https://jeannegeigercrisiscenter.org,https://jeannegeigercrisiscenter.org/,"Domestic Violence, Intimate Partner Violence, Family Services, Youth Development, Sexual Assault, Crisis Intervention"
Lawrence Boys and Girls Club,"Character & Leadership Development, Academic Support, College & Career Planning, Career Exploration, Healthy Lifestyles Education",gemini,https://www.lawrencebgc.com/members/programs/ | https://www.lawrencebgc.com/support-our-work/community-partnerships/ | https://www.lawrencebgc.com/support-our-work/,https://www.lawrencebgc.com/,"Youth Development, After School, Athletics, Academic Support, Summer Programs"
Lawrence Catholic Academy,"Financial Assistance, Extended Day Program, Extra-Curricular Activities, Meal Program, Academic Program (ages three through grade eight), Spiritual and Human Formation, STEM Education",gemini,https://www.lawrencecatholicacademy.net,https://www.lawrencecatholicacademy.net/,"K-8 Education, Faith-based Education"
Lawrence Community Works,"Homeownership Assistance, Workforce Development, Movement City Program, Affordable Housing Development, Commercial Real Estate Development, Community Infrastructure and Public Space Development",gemini,https://www.lawrencecommunityworks.org,https://www.lawrencecommunityworks.org/,"Community Development, Housing, Workforce Development, Social Services, Civic Engagement"
Lawrence General Hospital,"Hospitalist Care, Patient Portal, Valet Parking and Shuttle Service, Medical Records Access, Emergency Care, Interpreter Services, In-Hospital Patient Entertainment Channel, Financial Assistance Programs, Billing and Financial Counseling",redirected_domain,https://www.mhlawrencehospital.org/your-visit/at-the-hospital/hospitalist-program/meet-our-hospitalists | https://www.mhlawrencehospital.org/your-visit/at-the-hospital/interpreter-services | https://www.mhlawrencehospital.org/your-visit/billing-and-financial-assistance/financial-assistance-programs | https://www.mhlawrencehospital.org/services-and-centers | https://www.mhlawrencehospital.org/services-and-centers/cancer-care | https://www.mhlawrencehospital.org/services-and-centers/emergency-care,https://www.mhlawrencehospital.org/,"Healthcare, Emergency Care, Mental Health, Public Health, Substance Use, Maternity Care"
Lawrence Partnership,"Venture Loan Fund, Technical Assistance Grants, MV Small Business Coalition, LP Network, Know Your City Series, Workforce Analysis, Local Job Connection",gemini,https://lawrencepartnership.org/programs/venture-loan-fund | https://lawrencepartnership.org/programs/technical-assistance-grants | https://lawrencepartnership.org/programs/mv-small-business-coalition,https://lawrencepartnership.org/,"Economic Development, Workforce Development, Business Development, Job Creation"
Lawrence Partnership for Transition to Employment (LPTE),"Small business loans, Technical assistance grants for small businesses, Merrimack Valley Small Business Coalition, LP Network, Know Your City Series, Workforce analysis, Local job listings",gemini,https://lawrencepartnership.org/programs/venture-loan-fund | https://lawrencepartnership.org/programs/technical-assistance-grants | https://lawrencepartnership.org/programs/mv-small-business-coalition,https://lawrencepartnership.org/,"Disabilities, Transition to Employment, Job Training, Vocational Rehabilitation"
Lawrence Prospera- Quintana Center,"Adult Education, ESL classes, Citizenship and Naturalization Services, Youth Development Programs, YouthBuild Program, Youth Vocational Skills Training, Youth Music Production, Youth Sports Programs, Youth Media Production",gemini,https://www.lawrenceprospera.org/programs/maria-quintana-center#tm-main | https://www.lawrenceprospera.org/programs/maria-quintana-center#tm-dialog-mobile | https://www.lawrenceprospera.org/programs/sisu | https://www.lawrenceprospera.org/programs/sisu/sisu-staff | https://www.lawrenceprospera.org/programs/maria-quintana-center | https://www.lawrenceprospera.org/programs/maria-quintana-center/staff,https://www.lawrenceprospera.org/programs/maria-quintana-center,"Adult Education, ESL, Job Training, Digital Literacy, Financial Literacy"
Lawrence Prospera- SISU,"Adult Education, YouthBuild, SISU Prints, SISU CUTZ, SISU BEATZ, SISU Basketball, HOLA Podcast, Strengthening Families Newsletter",gemini,https://www.lawrenceprospera.org/programs/sisu | https://www.lawrenceprospera.org/programs/sisu/sisu-staff | https://www.lawrenceprospera.org/programs/maria-quintana-center | https://www.lawrenceprospera.org/programs/maria-quintana-center/staff | https://www.lawrenceprospera.org/programs/asset-development,https://www.lawrenceprospera.org/,"Adult Education, Criminal Justice, Reentry Programs, Economic Mobility, Youth Development, Workforce Development, Gang Prevention"
Lawrence Public Library,"Library card services, Technology access and equipment loans, Physical and digital library collections access, Material acquisition suggestions, Book clubs, Online adult education courses, Citizenship preparation and resources, Services for the blind and print-disabled, Health literacy initiative, Local governance and election information, Information assistance",redirected_domain,https://www.lawrencepl.org/technical-services | https://www.lawrencepl.org/information-services | https://www.lawrencepl.org/children-services | https://www.lawrencepl.org/teen-services | https://www.lawrencepl.org/services | https://www.lawrencepl.org/library-card-services,https://www.lawrencepl.org/,"Literacy, Adult Education, After School, Early Childhood, Digital Literacy, ESL"
Lawrence Public Schools,"Nutrition Services, Website Accessibility Tools, Student, Family & Community Engagement Programs, Multilingual Learner Programs, Special Education and Student Support Services, Transportation Services, Visual and Performing Arts Programs, Adult Education, Curriculum and Instruction, School Safety Programs, Staff Recruitment and Professional Development",gemini,"https://www.lawrence.k12.ma.us/about/departments/nutrition-services | https://www.lawrence.k12.ma.us/about/departments/office-of-student-support-services | https://www.lawrence.k12.ma.us/about/departments/transportation-services | https://www.lawrence.k12.ma.us/about/departments/office-of-student-support-services/special-education/special-education-parent-advisory-council-sepac | https://www.lawrence.k12.ma.us/about/departments/office-of-student,-family-community-engagement/initiatives/tu-voz-council-your-voice-council | https://www.lawrence.k12.ma.us/about/departments/finance/employee-self-service-log-in-instructions",https://www.lawrence.k12.ma.us/,"K-12 Education, Special Education, English Language Learning, After School"
Lawrence YMCA,,too_little_text,https://mvymca.org,https://mvymca.org/,"After School, Athletics, Youth Development, Fitness, Swimming, Summer Camp"
Lazarus House Ministries,"Food Pantry, Soup Kitchen, Thrift Store, Emergency Shelter, Community Resources, Advocacy",gemini,https://lazarushouse.org/services/food/ | https://lazarushouse.org/services/clothing/ | https://lazarushouse.org/services/shelter/ | https://lazarushouse.org/services/community-resources/ | https://lazarushouse.org/services/advocacy/,https://lazarushouse.org/,"Food Insecurity, Housing Insecurity, Homelessness, Emergency Shelter, Workforce Development, Food Pantry"
MSPCC/Healthy Families,"Healthy Families Home-based Family Coaching Program, Parents as Teachers Program, Child and Family Counseling, Foster Care and Adoption Placement Services, Kid’s Net Program, ENCOMPASS: Community and Collaboration for Foster Families, Massachusetts Alliance for Foster Families (MAFF) Support, Advocacy Services, Infant and Early Childhood Mental Health (IECMH) Services, IECMH Training, MassAIMH Endorsement® Consultation and Support",gemini,https://www.mspcc.org/healthyfamilies,https://www.mspcc.org/healthyfamilies/,"Capacity Building, Child Welfare, Early Childhood Development, Family Services, Home Visiting, Parenting Support"
Merrimack Valley Dream Center,"Fresh Start Mobile Showers & Laundry Services, Bridge Ministry outreach and essential supplies, Celebrate Recovery program, Shuttle Ministry transportation to church, Adopt-A-Block community outreach, Mobile Food Distribution",gemini,https://mvdreamcenter.org/ministries/fresh-start | https://mvdreamcenter.org/what-we-do,https://mvdreamcenter.org/,"Homelessness, Emergency Shelter, Housing, Transitional Housing"
Merrimack River Watershed Council (MRVC),"Advocacy, Education, Recreation Promotion, Water Quality Monitoring, Combined Sewer Overflow (CSO) Investigation, Post-Event Water Quality Testing, Watershed Restoration Projects, Watershed Climate Resilience Planning, Volunteer Program Management",gemini,https://merrimack.org/water-quality-monitoring-program/ | https://merrimack.org/our-work/,https://merrimack.org/,"Environmental Justice, Climate Change, Watershed Conservation, Water Quality"
Merrimack Valley Food Bank,"Summer Eats, Community Market, Food Rescue, Operation Nourish, Mobile Pantry, Food Distribution Program, SNAP Outreach & Enrollment",gemini,https://mvfb.org/programs | https://mvfb.org/programs/summer-eats/ | https://mvfb.org/programs/community-market/ | https://mvfb.org/programs/food-rescue/ | https://mvfb.org/programs/operation-nourish/ | https://mvfb.org/programs/mobile-pantry/,https://mvfb.org/,"Food Insecurity, Food Bank, Food Pantry, Hunger Relief"
Northeast Justice Center,"DTA and Public Benefits Appeals/Assistance, Domestic Abuse and Crime Victim Legal Aid, Housing and Shelter Legal Aid, Money and Debt Legal Aid, Children, Family, and Divorce Legal Aid, Employment and Unemployment Legal Aid, Immigration Legal Services, Criminal Records (CORI) and Licensing Legal Aid, Health and Disability Rights Legal Aid, School-Related Legal Aid, Lawyer Referrals, Legal Information and Self-Help Resources",gemini,https://www.masslegalhelp.org/public-benefits-ssi/department-transitional-assistance-dta/get-help-when-you-cant-reach-dta-assistance-line,https://www.masslegalhelp.org/,"Legal Services, Immigration Law, Housing Law, Consumer Protection, Benefits Assistance"
Northern Essex Community College,"Catering Services, Facilities Usage & Event Rental, Art Gallery, Public Lectures & Cultural Events, Online Learning Programs, General Studies Programs, Arts, Humanities & Communication Programs, Business & Computer Technology Programs, Culinary & Hospitality Programs, Education, Human Services & Criminal Justice Programs, Health Sciences Programs, Science & Lab Technology Programs",redirected_domain,https://necc.edu/about/facilities/facilities-usage-rental/catering-services/ | https://necc.edu/academics/programs-courses/ | https://necc.edu/academics/program-finder/ | https://necc.edu/academics/online-programs-courses/ | https://necc.edu/academics/online-programs-courses/online-learning-policies-regulations/ | https://necc.edu/academics/online-programs-courses/online-programs-faq/,https://necc.edu/,"Higher Education, Adult Education, Workforce Development, College Access, ESL, GED"
Notre Dame Cristo Rey,"Academic Support, College Counseling, Dual Enrollment, National Honor Society, Financial Aid and Scholarships, Campus Ministry and Retreats, Community Service Opportunities, Athletics Programs, Student Leadership and Extracurricular Clubs, Corporate Work Study Program, Alumni Resources",gemini,https://www.ndcrhs.org/student-life/campus-ministry/community-service,https://www.ndcrhs.org/,"Education, College Prep, Work Study, High School"
Notre Dame Education Center,"ESOL classes, Nursing Assistant training, Home Health Aide training, Basic Life Support training, Citizenship Exam preparation",gemini,https://www.ndeclawrence.net/programs | https://www.ndeclawrence.net/english-class-esol-program | https://www.ndeclawrence.net/nursing-assistant-program,https://www.ndeclawrence.net/,"Adult Education, ESL, GED, Literacy, Citizenship Preparation"
Neighbors in Need,"Food Pantry Services, Diaper Distribution, Bus Route Information, Referral to Other Community Resources, Thanksgiving Food Program, Soup Meal Program",gemini,https://needfood.org/get-help/ | https://needfood.org/get-help/#get-food | https://needfood.org/get-help/#get-diapers | https://needfood.org/get-help/#bus-routes | https://needfood.org/get-help/#additional-resources | https://needfood.org/about-us/#our-programs,https://needfood.org/,"Food Insecurity, Food Pantry, Basic Needs, Hunger Relief"
Partners for Child Development,"Early Intervention Services, Anderson School, Woodbridge School, Groups and Workshops, Mommy and Me Music Time, Breastfeeding and Bottle Feeding Support",gemini,https://mypcd.org/our-programs/ | https://mypcd.org/our-services-include-helping-with-breastfeeding-and-bottle-feeding/,https://mypcd.org/,"Early Intervention, ABA Therapy, Autism Services, Early Childhood Development, Special Needs"
Phoenix Charter Academy,"College preparatory high school education, Post-secondary success and transition support, Specialized re-engagement programs for truants and dropouts, Special Education services, English Language Learner (ELL) support, Support services for court-involved youth",gemini,https://www.phoenixcharteracademy.org,https://www.phoenixcharteracademy.org/,"Education, High School, College Prep, Credit Recovery"
Sarah's Place Adult Day Health Center,"Medical monitoring and medication administration, Physician communication and coordination, Health and family education and support, Daily meals and snacks, Exercise classes, Respite care, Arts, music, entertainment, and celebration programs, Cognitive stimulation activities, Community outings, Transportation services, Social Work assistance, Access to physical, occupational, and speech therapies",gemini,https://sarahsplace.org/services.html,https://sarahsplace.org/,"Aging, Elder Services, Adult Day Care, Disabilities, Healthcare"
Sevita Health,"Foster Care Services, Behavioral Health Services, Juvenile Justice Services, Autism Services, Early Intervention Services, Disability Support Services, Rehabilitation and Medical Services, Day Programs, Residential Services, In-Home Support Services, Senior Telehealth Services",gemini,https://sevitahealth.com/our-services/ | https://sevitahealth.com/our-services/families/ | https://sevitahealth.com/our-services/families/foster-care/ | https://sevitahealth.com/our-services/families/behavioral-health-services/ | https://sevitahealth.com/our-services/juvenile-justice-services/ | https://sevitahealth.com/our-services/families/day-treatment/,https://sevitahealth.com/,"Mental Health, Substance Use, Behavioral Health, Residential Support, Disabilities"
Si se puede!,"Academic Enrichment & Homework Assistance, Arts and Creative Activities, Nutrition and Well-Being Programs, Technology and Internet Access, Field Trips, Leadership Development, Mentoring, Career Exploration & Internships, Community Service Programs, Literacy Support, Sports & Fitness Activities, Social-Emotional Learning & Personal Growth",gemini,https://www.ssplawrence.org/blank-1,https://www.ssplawrence.org/,"After School, Youth Development, Tutoring, Academic Support"
Squash Busters,"Academic Tutoring and Homework Help, SAT Preparation, One-on-One College Mentoring, College Application and Financial Aid Support, College Enrollment and Graduation Support, High School Placement Advising, Character Development Programs, Squash and Fitness Training, Career Exploration Workshops, Connections to External Educational Programs",gemini,https://squashbusters.org/what-we-do/ | https://squashbusters.org/what-we-do/college/ | https://squashbusters.org/what-we-do/character/ | https://squashbusters.org/what-we-do/health/,https://squashbusters.org/,"After School, Youth Development, Athletics, Squash, College Access"
St. Mary's Parish,"Pre-School/Kindergarten Program, Sacramental Preparation Programs, Worship Services, Baptism Services, Youth Ministry Programs, Adult Faith Formation, Child Safety Training, Parish Fellowship Groups, Special Cultural & Liturgical Events",gemini,https://www.stmaryassumption-lawrence.org/pre-school-kindergarten-program,https://www.stmaryassumption-lawrence.org/,"Faith-based Services, Community Outreach, Food Pantry, Social Services"
St. Patrick's Catholic Church,"Mass and Confession, Sunday Mass Livestream, Homilies Podcast, Religious Education, FORMED (religious content platform), Saint Patrick Legacy Society, Cemetery Services, K-12 Education, Meal Services, Prayer Line, Stations of the Cross",gemini,https://www.saintpatrickparish.com,https://www.saintpatrickparish.com/,"Faith-based Services, Community Outreach, Social Services"
Suenos Basketball,"AAU Program, Skills & Training Clinics, Leadership Academy, Summer Camp, Female Hoops Leadership, International Tournaments, Coaching Certification, Youth Employment",redirected_domain,https://suenosbasketball.org/aau-program | https://suenosbasketball.org/summer-camp-program | https://suenosbasketball.org/female-hoops-program | https://suenosbasketball.org/international-tournaments-program | https://suenosbasketball.org/coaching-certification-program | https://suenosbasketball.org/youth-employment-program,https://suenosbasketball.org,"Athletics, Basketball, Youth Development, After School"
The Community Builders,,unusable_output,https://tcbinc.org/get-to-know-us/#do,https://tcbinc.org/,"Housing, Affordable Housing, Homelessness, Community Development, Property Management"
The Community Group,"Early Learning Education and Care, Out-of-School Time Enrichment, Child Care Professional Training and Workforce Development, Child Care Referrals and Resources, K1-8 Charter Public School",gemini,https://www.thecommunitygroupinc.org/# | https://www.thecommunitygroupinc.org/#services,https://www.thecommunitygroupinc.org/,"Early Childhood Development, Child Care, Education, Youth Development, Head Start"
The Institute for Career Transitions,,too_little_text,https://ictransitions.org,https://ictransitions.org/,"Workforce Development, Career Coaching, Job Training, Economic Mobility"
The Kindness Collaborative,"Direct Kindness Packages & Essential Goods Provision, Kindness Grants, Special Kindness Projects, Meal Trains, Food Support for Vulnerable Communities, Community Kindness Media Production, Community Engagement Workshops & Classes, Online Kindness Happenings Platform, Business Partnerships for Community Impact, Kind Business Certification & Network",gemini,https://kindnesscollab.org/programs/,https://kindnesscollab.org/,"Family Services, Basic Needs, Social Services, Community Support"
The Psychological Center,,too_little_text,https://psychologicalcenter.com,https://psychologicalcenter.com/,"Mental Health, Substance Use, Counseling, Therapy, Behavioral Health"
The Salvation Army Lawrence Corps,"Camp and Summer Programs, Alleviate Hunger, Combat Addiction, Equip Individuals and Families, Brighten the Holidays, Empower Youth, Help Disaster Survivors",gemini,https://easternusa.salvationarmy.org/massachusetts/lawrence/camp-summerprograms | https://easternusa.salvationarmy.org/massachusetts/lawrence/#howwehelp,https://easternusa.salvationarmy.org/massachusetts/lawrence,"Workforce Development, Faith-based Services, Food Insecurity, Housing Insecurity, Homelessness, Substance Use, Youth Development, Veterans Services, Emergency Assistance"
Top Notch Scholars,,too_little_text,https://topnotchscholars.org,https://topnotchscholars.org/,"Youth Development, Tutoring, College Prep, Academic Support, Mentoring"
Uncommon Threads,"Self-esteem Styling, Workforce Styling, Remote Styling (Threads to Go), Women's Empowerment Workshops, Emergency and Seasonal Clothing Provision, Empowerment Pop-up Shopping Events",gemini,https://www.uncommonthreads.org/our-programs,https://www.uncommonthreads.org/,"Clothing, Personal Growth, Workforce Development, Life Skills"
YWCA,,too_little_text,https://ywcanema.org,https://ywcanema.org/,"Youth Development, After School, Early Childhood, Domestic Violence, Women's Services"
Youth Development Organization,"YDO Kids program, Advisory Services, Arts programs, STEM programs, Programs at Phillips Academy, Summer programs",gemini,https://www.ydolawrence.org/programs/,https://www.ydolawrence.org/,"Youth Development, Mentoring, After School, Leadership Development"
American Red Cross | Massachusetts Region,"Home Fire Campaign, Disaster Services, Disaster Preparedness Education, Food Pantry, Service to the Armed Forces, International Services, Blood Donation, Training & Certification",gemini,https://www.redcross.org/local/massachusetts/about-us/our-work/we-are-here-massachusetts.html | https://www.redcross.org/local/massachusetts/about-us/our-work/home-fire-campaign.html | https://www.redcross.org/local/massachusetts/about-us/our-work/disaster-services.html | https://www.redcross.org/local/massachusetts/about-us/our-work/prepare-ma-request-a-presentation.html | https://www.redcross.org/local/massachusetts/about-us/our-work/team-red-cross.html | https://www.redcross.org/local/massachusetts/about-us/our-work/food-and-nutrition-programs.html,https://www.redcross.org/local/massachusetts.html,"Disaster Relief, Emergency Assistance, Health and Safety Training, CPR Training, First Aid, Blood Services, Armed Forces Services, Community Preparedness"
City of Lawrence,"Community Information & Engagement, Employment Services, City Forms & Records Access, Neighborhood Services, Online Financial & Regulatory Services, Emergency Services, Waste Management & Public Works, Water & Energy Utility Services, Voting & Elections, Civic Transparency & Access, Recreational/Youth Programs",gemini,https://www.cityoflawrence.com/150/Services | https://www.cityoflawrence.com/Calendar.aspx?EID=4216,https://www.cityoflawrence.com/,"Public Health, Senior Services, Veterans Services, Community Development, Housing, Economic Development, Recreation, Public Safety"
